id,time,type,prev_id,Engagement_index,Hop,Non_follower
2395283126,50067,like,2395283126,0,1,0
334150177,50067,like,334150177,0,1,0
1577247329974894592_1,50139,like,1577247329974894592,1,3,0
367959238,50139,like,367959238,0,1,0
1068519943056945155,50139,like,1068519943056945155,0,1,0
3157901843,50139,like,3157901843,0,0,1
1065337875976335361,50139,like,1065337875976335361,0,1,0
88397844,50139,like,88397844,0,3,0
1391075324360859650,50139,like,1391075324360859650,0,0,1
2789984096,50139,like,2789984096,0,1,0
847612720085999618,50139,like,847612720085999618,0,0,1
986869707964727296,50139,like,986869707964727296,0,3,0
2813212610,50139,like,2813212610,0,0,1
2409270198,50139,like,2409270198,0,2,0
1058604132,50139,like,1058604132,0,1,0
1109459530960785408,50139,like,1109459530960785408,0,2,0
1219029743326113792,50139,like,1219029743326113792,0,2,0
871183100977582080,50211,like,871183100977582080,0,1,0
807863855833497600,50211,like,807863855833497600,0,3,0
318818709_1,50211,like,318818709,1,1,0
222852113,50211,like,222852113,0,2,0
54059204_1,50211,like,54059204,1,1,0
33045207,50211,like,33045207,0,2,0
1228809826119114752,50283,like,1228809826119114752,0,2,0
980153270185480193,50283,like,980153270185480193,0,2,0
789822460833128448,50283,like,789822460833128448,0,2,0
1052050211844055040,50283,like,1052050211844055040,0,2,0
2160420077,50283,like,2160420077,0,2,0
1016544194,50283,like,1016544194,0,1,0
1496955260845367297,50283,like,1496955260845367297,0,0,1
1313633164364066817_1,50283,like,1313633164364066817,1,1,0
1152188885331513344,50283,like,1152188885331513344,0,1,0
2785526728,50283,like,2785526728,0,2,0
124901215,50356,like,124901215,0,2,0
1140445663102156800,50356,like,1140445663102156800,0,1,0
1426279454188441607,50356,like,1426279454188441607,0,0,1
1024065842282151937,50356,like,1024065842282151937,0,2,0
1409839524_1,50356,like,1409839524,1,2,0
1251810055445450753,50356,like,1251810055445450753,0,2,0
975059288,50356,like,975059288,0,1,0
3400135666,50356,like,3400135666,0,2,0
1263532019285278721,50356,like,1263532019285278721,0,0,1
954051411494383616,50356,like,954051411494383616,0,1,0
1053394230939471872,50428,like,1053394230939471872,0,0,1
1669031244,50428,like,1669031244,0,2,0
774572936_1,50428,like,774572936,1,1,0
2223804382,50428,like,2223804382,0,2,0
989757766137991168_1,50428,like,989757766137991168,1,2,0
888447392328167427_1,50428,like,888447392328167427,1,1,0
1457224117514489858,50428,like,1457224117514489858,0,0,1
4924992796_1,50428,like,4924992796,1,1,0
2429422114_1,50428,like,2429422114,1,1,0
3236402022,50428,like,3236402022,0,0,1
493235610,50428,like,493235610,0,2,0
558387922_1,50428,like,558387922,1,2,0
1325935849477902337,50428,like,1325935849477902337,0,3,0
1158754681847504902,50500,like,1158754681847504902,0,2,0
1227072412669231104,50500,like,1227072412669231104,0,0,1
2567219248_1,50500,like,2567219248,1,1,0
931326922591793152,50500,like,931326922591793152,0,1,0
1367887822980517900,50500,like,1367887822980517900,0,2,0
331171348,50500,like,331171348,0,1,0
1612847392293781510,50500,like,1612847392293781510,0,0,1
738510572,50500,like,738510572,0,3,0
1374877869709606917,50500,like,1374877869709606917,0,2,0
1294481566979076096,50500,like,1294481566979076096,0,0,1
952595312_1,50500,like,952595312,1,1,0
783375026_1,50500,like,783375026,1,1,0
1004608734746873857,50500,like,1004608734746873857,0,0,1
2602482083,50500,like,2602482083,0,2,0
1281148421555081216,50500,like,1281148421555081216,0,1,0
2279428417_1,50500,like,2279428417,1,1,0
132054166,50500,like,132054166,0,2,0
731167728,50572,like,731167728,0,2,0
1320527888991604743,50572,like,1320527888991604743,0,1,0
1561688059,50572,like,1561688059,0,1,0
1190954600167288833,50572,like,1190954600167288833,0,2,0
1339978956175454210,50572,like,1339978956175454210,0,0,1
1280080342720929793,50572,like,1280080342720929793,0,2,0
2540150015,50572,like,2540150015,0,0,1
1135662699050872834,50572,like,1135662699050872834,0,2,0
2534213089,50572,like,2534213089,0,1,0
1609043078,50644,like,1609043078,0,2,0
1585463696821723137,50644,like,1585463696821723137,0,2,0
1071762336464207873,50644,like,1071762336464207873,0,1,0
395732159_1,50644,like,395732159,1,0,0
1322974343706611713,50644,like,1322974343706611713,0,1,0
1606724547671203841,50644,like,1606724547671203841,0,2,0
582230632,50644,like,582230632,0,1,0
909987276591046656,50644,like,909987276591046656,0,2,0
1204904902784409600_1,50644,like,1204904902784409600,1,2,0
1541004955,50644,like,1541004955,0,2,0
2710162428,50644,like,2710162428,0,2,0
158433610,50644,like,158433610,0,1,0
228460733,50644,like,228460733,0,2,0
867834109388701697,50644,like,867834109388701697,0,1,0
566961066,50644,like,566961066,0,1,0
1105951150409482241,50644,like,1105951150409482241,0,1,0
772001755,50644,like,772001755,0,1,0
1465181023872843779,50717,like,1465181023872843779,0,2,0
1604622778057084928,50717,like,1604622778057084928,0,0,1
701846335222251520,50717,like,701846335222251520,0,1,0
3109113726,50717,like,3109113726,0,1,0
1266885438557609984,50717,like,1266885438557609984,0,2,0
1490546378,50717,like,1490546378,0,1,0
832612972128264192_1,50717,like,832612972128264192,1,0,0
1300415181328134144,50717,like,1300415181328134144,0,2,0
2697443094,50717,like,2697443094,0,0,1
4699906608_1,50717,like,4699906608,1,0,0
1244578971217539078,50717,like,1244578971217539078,0,3,0
337077276,50717,like,337077276,0,3,0
1410625898332700675,50717,like,1410625898332700675,0,3,0
947517292673368064,50717,like,947517292673368064,0,0,1
280074856_1,50717,like,280074856,1,1,0
2742537880,50717,like,2742537880,0,2,0
16616102,50789,like,16616102,0,2,0
1476652116232089606,50789,like,1476652116232089606,0,1,0
502124546,50789,like,502124546,0,2,0
1387922749,50789,like,1387922749,0,0,1
3325355845,50789,like,3325355845,0,2,0
2151834158,50789,like,2151834158,0,3,0
1736638122_1,50789,like,1736638122,1,1,0
1524038581664329729,50789,like,1524038581664329729,0,0,1
1081537325010747393,50789,like,1081537325010747393,0,2,0
1552002132878016517,50789,like,1552002132878016517,0,3,0
1487126656573661189,50789,like,1487126656573661189,0,1,0
1216667505449717760,50789,like,1216667505449717760,0,2,0
3438830020_1,50789,like,3438830020,1,2,0
1031965917406814208_1,50789,like,1031965917406814208,1,2,0
1132015216911372288,50861,like,1132015216911372288,0,0,1
993538394063015937,50861,like,993538394063015937,0,2,0
965604873499799552,50861,like,965604873499799552,0,2,0
